YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ProportionParkingGFA,ProportionElectricity(kBtu),ProportionNaturalGas(kBtu),ProportionSteamUse(kBtu),Distribution Center,Hospital,Hotel,K-12 School,Laboratory,Large Office,Medical Office,Mixed Use Property,Office,Other,Refrigerated Warehouse,Residence Hall,Restaurant,Retail Store,Self-Storage Facility,Senior Care Community,Small- and Mid-Sized Office,Supermarket / Grocery Store,University,Warehouse,Worship Facility
101,3,56072,76.0,3800842.5,146.34,2.61,0.0,0.17060377454440404,0.8293959936011258,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,122942,94.0,5387530.0,171.64,1.4,0.36513965935156417,0.454108736683895,0.545891263316105,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,54984,71.0,3630147.25,87.98,1.6,0.0,0.5861055797696796,0.4138944202303204,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
90,5,217603,54.0,45547252.0,1727.11,7.94,0.0,0.27633090540696414,0.7236690945930359,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
45,2,93397,1.0,16959754.0,609.1,6.52,0.0,0.3462567404862277,0.6537431985476904,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7,6,84103,74.0,3787499.0,67.06,0.8,0.2465072589562798,0.7589346780352204,0.24106525450842836,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3,179014,48.0,16527711.0,430.84,2.41,0.0,0.5919676331824546,0.40803230694108844,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,7,76631,71.0,7250730.5,262.75,3.43,0.0,0.3665560715375777,0.6334438595801196,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6,99780,73.0,15684371.0,481.97,4.83,0.09361595510122268,0.6556735142634803,0.0,0.3443263887941906,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2,58320,96.0,1243027.75,39.06,0.67,0.0,0.34465679819299594,0.6553426064263719,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,5,316306,96.0,13909270.0,138.85,0.44,0.0,0.9329612870556107,0.06703856797434958,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7,282863,37.0,20194606.0,526.85,1.86,0.15826035925518714,0.5642880135897974,0.4357119350209031,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,389000,73.0,23736924.0,607.41,1.56,0.0,0.6094576866338013,0.02910861153850348,0.25754071033837556,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,1,91213,73.0,8181881.0,344.2,3.77,0.0,0.4611280302900491,0.0,0.5060866359818333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
76,5,396085,73.0,21257836.0,804.2,2.03,0.0,0.3460900024652797,0.0,0.46593547533656127,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,2,52000,73.0,2682242.75,101.83,1.96,0.0,0.47438516209654674,0.0,0.44101880559821505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
84,1,60696,73.0,875943.3125,6.11,0.1,0.0,0.9999996432417537,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
